ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,"Neris  (W, 3-0)",Falter
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,"Neris  (W, 3-0)","Ortiz, L.L."
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,"Neris  (W, 3-0)",Bednar
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)","Neris  (W, 3-0)","Chapman  (L, 0-3)"
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,"Neris  (W, 3-0)",Nicolas
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,"Alzolay  (S, 4)",Pirates Pitchers
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,"Alzolay  (S, 4)",Falter
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,"Alzolay  (S, 4)","Ortiz, L.L."
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,"Alzolay  (S, 4)",Bednar
1.0,1,2,1,1,0,1,4.67,17,9,Alzolay,640470.0,"(S, 4)",745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)","Alzolay  (S, 4)","Chapman  (L, 0-3)"
